puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,6.1,Michaël Souhaité,"['François Hitter', 'Marie-Pierre Huster', 'Michaël Souhaité']","Sweet and bitter comedy about urban life, Prozac Tango stages seven characters who will kill each other, cross paths, meet, miss each other and perhaps love each other.",19,Comedia,prozac tango,2015
nan,-,François Lallier,-,"-Awareness campaign on drugs while driving. Using a pigeon and a squirrel, she recalls that the police are able to recognize a drugged driver. The campaign is aimed primarily at drivers aged 16 to 24.",1,Comedia,publicité saaq - campagne publicitaire sur les drogues au volant (pigeon),2015
nan,-,Pauli Janhunen Calderón,-,"Adventurer Tracy Smith embarks on a journey to find the treasure from the Secret Abyss. With the help of Niño Mistico they must face dangers on the way. Silver Servant, Don Maligni's troops and the Guardian will all challenge the mission.",24,Comedia,tracy smith: el tesoro del abismo secreto,2015
nan,-,Zidny Nafian,Zidny Nafian,"On an elevated afternoon, two Boys talked about the cause of a motorbike that was not bought.",5,Comedia,rajawali,2015
nan,-,Andrew Craig,Andrew Craig,-,12,Comedia,in the realms of good and evil,2015
86,-,Andrew Craig,Andrew Craig,-,7,Comedia,jeremy,2015
nan,-,Yunhao Zhang,Yunhao Zhang,-,2,Comedia,the hungry buddhists,2015
nan,-,Kseniya Krasnova,-,-,7,Comedia,bytva za 'zhovten',2015
56,-,Thibault Pinto,-,-,-,Comedia,the end,2015
nan,-,Jimena Muhlia,Jimena Muhlia,"After her suit is broken, Maria must face her own shame to get on stage.",5,Comedia,after the birds,2015
nan,-,Ryan Becken,Brian Turek,"In the glamorous world of historical portrait painting, Ross Roberts was the darling of the fine art jet set. But Ross Roberts was about to find out, that some portraits are best left unpainted.",-,Comedia,lincoln 666,2015
nan,-,"['Cameron Mac', 'Leod']","['Cameron Mac', 'Leod']","This is the tale of Charlie Peck, a young depressed desk jockey who hates his job, hates his boss, and just got dumped by his girlfriend, for the third time. He needs a positive change in his life but doesn't know where to start. After a janitor at his office suggests it, Charlie takes a chance and attends an orgy, which seems scary at first but forever changes his li... Leer todo",8,Comedia,orgies happening tonight,2015
nan,-,Jared Hogan,Justin Robinson,-,-,Comedia,team stretch,2015
-,7.2,Yuriy Shilov,Yuriy Shilov,A young man lies down on the grass in the public garden. That becomes a reason to begin conversations by other people.,13,Comedia,weight,2015
-,-,Gino Palummo,"['Gino Palummo', 'Nicoletta Senzacqua']",-,-,Comedia,46,2015
nan,-,Hereward Selby,Hereward Selby,-,3,Comedia,twice times you,2015
nan,-,Krish Haran,Krish Haran,-,-,Comedia,neighbour,2015
nan,-,Denise Sganzerla,Denise Sganzerla,-,-,Comedia,os suspeitos - canal mosaico,2015
-,-,Manolo Moreno,Manolo Moreno,-,-,Comedia,america's funniest home videos,2015
nan,-,David Sidorov,"['David Sidorov', 'Rachel Wenitsky']",-,-,Comedia,the 2015 stock photo awards,2015
nan,-,David Sidorov,Chelsea Davison,-,-,Comedia,horror movie date night,2015
nan,-,Colton Walter,"['Josh Ernstrom', 'Colton Walter']","Down and out inventor, Gary Swinkle, must babysit his girlfriend's lifelike robot for the day.",7,Comedia,out of context,2015
nan,-,Davey Snoek,"['Davey Snoek', 'Niels Snoek']",John's clients are very lonely people who all want to claim a bit of him for themselves. It's not easy to stomach that much desire.,17,Comedia,vrolijke sfeer,2015
nan,-,Christelle Younes,Christelle Younes,"Samir wakes up one day in his coffin attending his own funeral. On this day, he is gifted to see, hear what is going on around him and also hear the people's thoughts which will help him remember the tragic accident that led to his death.",21,Comedia,"samir, sheikh el chabeb",2015
-,-,Hannah Passmore,"['Harry Anderson', 'Hannah Passmore']",An eccentric loner seeks friendship in the form a gold fish. Problems arise when he inflicts his worst traits onto his new companion.,3,Comedia,fish,2015
nan,-,Korey Smallwood,Korey Smallwood,-,14,Comedia,retales pilot presentation,2015
nan,-,Frank Sanders,Frank Sanders,-,5,Comedia,true homies,2015
nan,-,Aris Koulaidis,"['Nick Chanakoulas', 'Aris Koulaidis']",-,-,Comedia,santa's hunger,2015
nan,-,U.V. Eranna,-,-,-,Comedia,nindu chandrudu,2015
nan,-,Aris Koulaidis,-,-,-,Comedia,fat men in skirts,2015
