puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,-,Sayoko Akutsu,Sayoko Akutsu,"Since 360 years ago, back in Edo era in Japan, OFUKU has been searching for her mother. Strong faith in her mother's words made OFUKU live over her life-span as a human being.After parting with her mother, OFUKU, with love and sorrow, had been a wanderer.",15,Drama,ofuku: separation,2020
nan,-,Lina Jalala,Lina Jalala,"After being sexually assaulted by her boyfriend's best friend, a college student is terrified that this can be turned against her if she speaks up. She has no proof and he studies law.",10,Drama,hear a no,2020
40,-,Jess Taylor,"['Christianna Mershon', 'Jess Taylor']",Two girls take justice into their own hands after friends and counselors brush aside their accusations of sexual assault.,12,Drama,satisfaction,2020
nan,8.0,Michael Shumway,Lex Hogan,"A farmer wakes up one morning to an unexpected apocalypse. As the last man alive, he decides to throw caution to the wind and start living his very best life.",-,Drama,the last queen on earth,2020
nan,-,Rafael P. Basáñez,Rafael P. Basáñez,Convinced by her best-friends a newly-engaged young woman is about to have her life turned upside down after having her hand read by a chirologist.,11,Drama,they never lie,2020
86,-,Daniel Drummond,Daniel Drummond,"When a junkyard worker comes across a dead dog in her family's property, a burning sense of obligation compels her to give it a proper burial.",16,Drama,salvage,2020
nan,-,Aaron Cabrero Jr.,Aaron Cabrero Jr.,A detective is sucked into a mystery a woman ventures beyond dreams and reality.,15,Drama,anxietus,2020
nan,-,Corentin Rousseaux,"['Nathaniel Grabli', 'Kally Remond']",-,19,Drama,drop,2020
nan,-,Phillip Youmans,Phillip Youmans,"Upon immigrating to New York, a West-African mother finds comfort in the dresses her daughter makes for her.",15,Drama,nairobi,2020
nan,-,KT Walker,Jalisa Brown,-,-,Drama,the color of midnight,2020
nan,-,Jenna Harder,Jenna Harder,A darkly comedic look at a day in the life of a struggling actor and the unique ways she deals with the pressures of the industry.,-,Drama,whenever you're ready,2020
nan,-,Prithwish Barman,Prithwish Barman,A guy is stuck in a traffic jam in a cab. He is getting late for an event where his sole motive is to meet and have a conversation with this one girl who he has been dying to meet. The companion to his misery is the cab driver who wants to get back home to celebrate his anniversa... Leer todo,11,Drama,aur kitna time lagega,2020
nan,-,Gabriel Athanasiou,Ioanna Kaltsidou,"In a small Greek village a frustrated woman in her 40s, Anna, can not handle her husbands' cheating anymore and decides to take revenge.",-,Drama,before the rooster crows,2020
nan,9.3,Keir Siewert,Keir Siewert,"Based on real accounts, a model takes matters into her own hands to expose a serial predator in the photography world.",-,Drama,portrait,2020
nan,1.0,Ben Wicks,Adele James,"A short film that follows Rachel, a young woman on a night out with her best friends and her crush, that changes her life irreversibly.",6,Drama,"post-you, me",2020
37,-,"['Carlie Mc', 'Cann']","['Carlie Mc', 'Cann']","Faced with the challenge of foreclosure of her home, a painter Sylvia is confronted with staying or leaving it all behind.",15,Drama,sylvia,2020
nan,-,"['Joe Laporte', 'David Liehn']",Matthew Dennis Lewis,Sins Unveiled documents the primal fear that small towns and small minds often resort to hate and violence when confronted with the unknown.,-,Drama,sins unveiled,2020
nan,-,Ryan Phoenix,Ryan Phoenix,"Two German soldier brothers, part of the Nazi machine with two very different hearts. This short black and white film noir is not intended to be a political piece but a story about humanity.",5,Drama,ein man stande,2020
nan,-,Alejandro Marcos,Alejandro Marcos,A billionaire fashion business-woman that finds a hard worker wannabe living under her bed. The theme is a metaphor about the income inequality (1% of the population holds 60% of the wealth).,25,Drama,the aboves and the belows,2020
39,-,Andrew Ball-Shaw,Andrew Ball-Shaw,"With a mostly memories-based existence, of a person finding health deterioration difficulties. Whilst knowing the colour purple does not exist in the spectrum. These similarities combined provides an interpretation of living with dementia.",-,Drama,lavender,2020
nan,-,Dave Rodkey,Dave Rodkey,Two siblings discover that their father is marrying their best friend at a disastrous Easter dinner.,15,Drama,the place of the skull,2020
nan,6.3,Mohammad Hormozi,Mohammad Hormozi,Music is the language of the human soul.,16,Drama,inner self,2020
nan,-,Luisa Novo,Luisa Novo,"Camila's world seems perfect on the outside, but appearances can be deceiving. A book is her only escape, but it can be dangerous to keep a secret.",16,Drama,o mundo aqui dentro,2020
