puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
0,4.8,Dwight H. Little,"['Alan B. Mc', 'Elroy']",-,91,Accion,tekken,2010
nan,4.0,Demian Lichtenstein,Eddie Guerra,"When three Vegas buddies attempt the score of a lifetime, they have to walk a fine line between their girlfriends who want their heads, and the mobsters who want them dead.",95,Accion,venus & vegas,2010
49,6.7,Joe Carnahan,"['Joe Carnahan', 'Brian Bloom', 'Skip Woods']",-,117,Accion,the a-team,2010
nan,3.5,Roberto Carminati,"['Roberto Carminati', 'Bruno Fantini', 'Daniel Ortiz']",The Brazilian Government leads Latin American countries in the fight against drug cartels. In response drug cartels start a series of attacks against Brazil's cities and natural resources. Their first target is the Amazon Forest.,86,Accion,segurança nacional,2010
82,7.6,Edgar Wright,"['Michael Bacall', 'Edgar Wright', ""Bryan Lee O'Malley""]",-,112,Accion,scott pilgrim vs. the world,2010
nan,7.8,Ron Althoff,"['Ron Althoff', 'Michael Su']","When a San Francisco detective goes hunting for the cruel Asian crime figure who killed his partner, he finds himself thrown into the center of a violent plot to steal a terrorist weapon. Ty Nelson is a detective haunted by the violent death of his partner at the hands of Choy Muk, the leader of the Triad Dragons-- a violent, fanatical Asian gang operating in San Fran... Leer todo",90,Accion,taken by force,2010
100,8.0,John Anton,"['John Anton', 'Jason Waugh']","As this caper unfolds you will experience cool riffs, tattoos, excessive drug use, brief nudity, extremely strong language, mayhem, murder and a hail of gunfire.",123,Accion,"guns, drugs and dirty money",2010
nan,3.3,S.J. Suryah,S.J. Suryah,"Puli, a brave police officer, is appointed as the special police officer in PM's security. Soon, he gets into a brawl with Al Saleem, only to realise that Saleem is responsible for his father's death.",163,Accion,komaram puli,2010
36,6.6,Mike Newell,"['Boaz Yakin', 'Doug Miro', 'Carlo Bernard']",-,116,Accion,prince of persia: the sands of time,2010
87,6.8,Tony Scott,Mark Bomback,-,98,Accion,unstoppable,2010
48,6.2,Sylvain White,"['Peter Berg', 'James Vanderbilt', 'Andy Diggle']",-,97,Accion,the losers,2010
