,puntuacion,datos_direccion,datos_guion,argumento,duracion_minutos,nombre_peli,anio_peli
0,6.5,Mike Kuchar,-,"Shy Pop artist Wendel Samson (played by real Pop artist Red Grooms) can't work up the nerve to break up with his boyfriend, so he has anonymous trysts with other men. Meanwhile, when his female friend Margaret pressures him into an intimate relationship, it sends Wendel spiraling into a nightmare world where he's violently punished for his sexuality.",33,the secret of wendel samson,2005
1,-,Christian Pichler,Christian Pichler,"Seth Argento is a well known name in the underground, known as one of the fastest, most merciless assassins. But even though living as a legend in his profession, he wants to quit and decides to do one last job... in Los Angeles. As he returns back home he encounters occurences, far beyond his imagination.",16,haunted,2005
2,-,Markham Cook,Markham Cook,-,29,the last illusion,2005
3,,,,,,sweetnightgoodheart,2005
4,7.9,"['Keith Adler', 'Sabrina Rubin']","['Keith Adler', 'Sabrina Rubin']","Twenty-year old Trevor has trouble talking about his past: his military father who was never home, the early death of his mother. As he reaches adulthood, he's found a way to be at once a part of the group and distanced from it. His last relationship disintegrated when he wasn't able to communicate and connect. He joins his friends on a trip to the desert to conduct a... Leer todo",22,television,2005
5,-,Anna Condo,Anna Condo,Life is a game. Katja plays.,4,candid,2005
6,-,Laurent Bouhnik,-,-,4,deux l,2005
7,6.2,Barnabás Tóth,"['Szil Podmaniczky', 'Barnab T']",-,29,szerelem meg hal,2005
8,,,,,,up,2005
9,8.7,Liselle Mei,Liselle Mei,An adolescent girl experiences the contrast between the excitement and power of her sexuality as she walks past the neighborhood basketball courts.,38,lower east side stories,2005
10,9.6,Morten Joersum,Morten Joersum,-,-,i en villa,2005
11,-,['Rune Kalle Bjerk'],['Rune Kalle Bjerk'],-,17,stabat mater,2005
12,7.9,Nicholas Panoutsopoulos,"['Leslie Norris', 'Nicholas Panoutsopoulos']",-,17,blackberries,2005
13,7.0,Ted Wallach,"['Jesper Laursen', 'Jesper Grubb Laursen']",-,27,bøje,2005
14,6.2,['Caroline Sascha Cogez'],['Caroline Sascha Cogez'],-,21,les amours perdus,2005
15,4.9,Scott Slone,Scott Slone,"Living alone and isolated in his own private world, Old Man spends his days immersed in a fantasy of concert halls and music. One fateful afternoon during his standard routine, tragedy strikes and Old Man is forced to go about his daily life without the most important thing in the world to him - His music.",22,old man music,2005
16,,,,,,worse,2005
17,8.1,Alex Sabeti,Alex Sabeti,Rita Felt never thought changing a tire would change her life.,12,flat tire,2005
18,6.0,"['Ron Braverman', 'Christopher Heltai']","['Ron Braverman', 'Christopher Heltai']","Interviewing various women in and around Los Angeles, Arbie is followed by a documentary film crew that capture his attempts of grasping the female psyche. What unfolds is something beyond anything he ever anticipated.",30,adjusting arbie,2005
19,5.5,Corinna Faith,Corinna Faith,A boy and his estranged father are thrown together for the day when they have a family duty to perform.,10,ashes,2005
20,8.6,['Mads Nygaard Hemmingsen'],"['Timothy Ellis', 'Mads Nygaard Hemmingsen']",-,15,bondefanget,2005
21,,,,,,i hate you,2005
22,8.6,['Mads Nygaard Hemmingsen'],"['Timothy Ellis', 'Mads Nygaard Hemmingsen']",-,15,far-vel,2005
23,7.5,Chris Eyre,"['Scott Garen', 'Joy Harjo']",The lives of four Native Americans take a significant turn as they confront the crises that arise in a single day.,42,a thousand roads,2005
24,-,Kræsten Kusk,Kræsten Kusk,-,16,glashus,2005
25,6.2,Benjamin Holmsteen,Benjamin Holmsteen,"A man carries his dead wife to the trunk of a car in front of their 4-year-old daughter. All together they drive to a lake far into the forest, where the father plans to dump the body and end the lives of himself and his daughter. However, everything is not what it seems...",19,lille lise,2005
26,7.4,Roberto Minervini,Roberto Minervini,"Voodoo dolls are feared and mysterious. The title character in this film short starts out with the same mystique even if, like a doll, he is strangely docile. The lawless gang he is peripherally part of engages in various acts of crime and self-abasement arranged and instigated by the leader, Pope, who implies that the real rainmaker is Voodoo Doll. Tagging along with... Leer todo",22,voodoo doll,2005
27,8.4,Eme Guitron,Joey Jameson,-,9,the boss,2005
28,6.9,James Burkhammer,James Burkhammer,Two brothers develop a sexual attraction to one another amid the unkind world around them.,15,starcrossed,2005
29,,,,,,i?,2005
30,7.2,Rene Mohandas,Rene Mohandas,"A true story featuring the boy who lived it. An Indian beggar boy thief with huge, deformed feet tries to escape his harsh city life in Mumbai. Inspired by a photograph of a mountain, he embarks on a spiritual journey of penance and hope.",26,elephant boy,2005
31,5.6,['Signe S Bech'],['Signe S Bech'],-,30,sommerfuglekvinden,2005
32,6.2,Stuart Lessner,Chumahan Bowen,"Jeff Hannon (Wilk) from the forever away world of Cincinnati, Ohio has stumbled upon what he believes to be a 25 year old murder in a small Texas town. His ceaseless nightmares compel him to drive to the middle of nowhere town of Bueford, Texas to enlist the local authorities (Asner, Keenan) to help solve the murder mystery and forever put an end to the voices that ha... Leer todo",25,sleeping dogs lie,2005
33,5.8,Emma Balcázar,"['Emma Balc', 'Stine Lauritzen', 'Larsen Elsebeth Nielsen']",-,25,deadline,2005
34,8.0,Ferenc András,Péter Dobai,-,35,morfium,2005
35,7.0,Bálint Kenyeres,"['B Kenyeres', 'Gy R']","Before dawn, people will rise and other people will take away their hope.",13,before dawn,2005
36,7.4,Warwick Thornton,Warwick Thornton,An Australian Aboriginal DJ realizes that his job at the country radio station is about more than just playing music,27,green bush,2005
