puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,-,['Daniel Hernández Torrado'],['Daniel Hernández Torrado'],-,-,Comedia,mundo de locos,tt10010264
,-,"['Jane Clarkson', 'Monette Lee']",['Bob Galley'],A lone woman isolates herself in the desert with her madness and conspiracy theories. Along comes a man wanting to relax on the beach. Or does he??!!,7,Comedia,deserted beach,tt10071228
,-,['Bin-Han To'],['Bin-Han To'],-,-,Comedia,noise pollution,tt10090812
,-,['Christopher Pruitt'],['Christopher Pruitt'],-,8,Comedia,i smell dead people,tt10120528
86,-,['Yuki Otsuka'],['Yuki Otsuka'],-,-,Comedia,the killer,tt10213300
,7.4,['James Renfroe'],-,"In a desperate attempt to make friends, lonely girl decides to have a party at her place. Things unfortunately don't go as expected, as the guest count continues to grow.",-,Comedia,lonely girl,tt10219038
,-,['Antonio Palomino'],['Antonio Palomino'],"This short film, recorded in Malaga, takes place in the middle of the Spanish Civil War. The story tells the social, political and religious confusions that are experienced in each of the sides and how the protagonist is suddenly submerged in the field of battle. We can say that in this short film the fundamental idea that wants to express society is the ideals of an ... Leer todo",-,Comedia,el ambidiestro,tt10224574
,-,['David Sidorov'],"['Billy Domineau', 'Sean Ireland', 'Jenny Jaffe']",-,-,Comedia,now! that's what i call dad,tt10229380
,-,"['Leandro Naranjo', 'Ramiro Sonzini']",-,-,28,Comedia,escuela,tt10257026
,8.2,['Abdulmohsen Aldhabaan'],['Abdulmohsen Aldhabaan'],What relevance does a string of crimes committed in the past have in the present? The film depicts a story of past crimes leaving a fresh impression on our time today.,35,Comedia,incomplete chronicles of a folk tale,tt10254972
,-,"['Travis Bradley', 'Skyler Caleb', 'Stephen D. Little']","['Skyler Caleb', 'Stephen D. Little']",Be careful what you say when setting up a date with a lady.,4,Comedia,the misunderstanding,tt10262012
,-,"['Skyler Caleb', 'Sanford Holsapple']","['Skyler Caleb', 'Sanford Holsapple']",The only way to settle an argument.,5,Comedia,kiss fight,tt10262024
,-,['Doug Underwood'],['Doug Underwood'],Detectives Fowler and The Z are decades apart in personality and appearance but Detective Z goes missing Detective Fowler won't stop until he finds and saves his partner in solving crime.,2,Comedia,fowler and the z retro,tt10277992
,-,['Juan Ignacio Martín Blázquez'],['Juan Ignacio Martín Blázquez'],-,3,Comedia,connection jam,tt10309930
,-,['Juan Ignacio Martín Blázquez'],['Juan Ignacio Martín Blázquez'],-,2,Comedia,deliciae,tt10314554
,-,['Alex Stickroth'],"['Nick Gagnon', 'Alex Stickroth']",-,-,Comedia,oh arizona,tt10365350
,-,['David M. Night Maire'],['David M. Night Maire'],-,-,Comedia,p00p,tt10368628
,-,['Michael Thordarson'],['Michael Thordarson'],When a deadly magical virus infects anime girls and turns them into zombies. It is up to a lone Lobster to fight and battle the evil anime zombie girls. He manages to make some friends along the way though to help in his fight.,-,Comedia,resident girls apocalypse,tt10384210
,-,['Richard Pizon'],['Richard Pizon'],"Mister PICO, a torturer, receives a visit from his chief, Mister RUMBA, in the midst of a work session.",6,Comedia,bucco faciale,tt10400156
13,-,['Drew Barclay'],"['Drew Barclay', 'John Bivens']",-,-,Comedia,cookie,tt10447544
,-,['Amanda Ross'],['Amanda Ross'],-,-,Comedia,tontine,tt10456858
,-,['Matthew Ballen'],"['Matthew Ballen', 'H Spencer Young']",-,6,Comedia,upper cut: alright,tt10457304
,-,['Lindsay Bane'],['Lindsay Bane'],-,-,Comedia,while you were evicted,tt10470758
,-,['Spanky Aguirre'],['Spanky Aguirre'],-,-,Comedia,why me?,tt10470914
