puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
0,5.1,['Michael Pollak'],"['Scott Bruffey', 'Michael Pollak']","A powerful film that examines the ""progress"" of our present day culture through the eyes of the oppressor.",26,Drama,death of a nation,tt0370451
,3.8,['Josh Marchette'],['Josh Marchette'],-,-,Drama,turning it over,tt0378927
,-,['Jorge G. Satí'],"['Shai Bercovich', 'Jorge G. Satí']","Unraveled biography of young Shai's damaging memories in the twilight of his prematurely aged existence. Naked and emaciated in a agonizing galvanizing stadium, Shai will revive his epic and tormented struggle over the squares of the board of his own duality; Perhaps his last and desperate search for an epiphany about the meaning of existence, within a black fable abo... Leer todo",19,Drama,catarsis bioépica,tt10016514
,-,['Maria Norrman'],['Maria Norrman'],"An experimental film project of the story of Swedish silent film actress Sigrid Holmquist (1899-1970)'s life by using the silent film medium. It consists of already existing film clips from the 1910s and 1920s. The Borås-born Holmquist is played by eight different stars from her era, and she also plays herself. Her stubborn spirit led her to become a movie star in Sca... Leer todo",22,Drama,sigrid holmquist,tt10023222
,-,"['Jane Clarkson', 'Monette Lee']",['Bob Galley'],A lone woman isolates herself in the desert with her madness and conspiracy theories. Along comes a man wanting to relax on the beach. Or does he??!!,7,Drama,deserted beach,tt10071228
,-,['Jacob Mendel'],"['Joris-Karl Huysmans', 'Mazier Moshgbar', 'Jason Sudak']","A decadent tale examining a failed love triangle, told in a multi-screen cinematic narrative. Inspired by Joris-Karl Huysmans's 1884 handbook of decadence, ""À Rebours,"" tells the story of a nature-hating aesthete named Jean des Esseintes. Subtitled ""A Novel Without a Plot"" .",10,Drama,so deep in your room,tt10087494
,-,['Maciej Twardowski'],['Maciej Twardowski'],A child surrounded by the harmony of family celebration. The sacrament is entering a new stage of spiritual development. Is the idea of the sacrament now valid? Are situations created by adults incomprehensible for the child and cause fear?,14,Drama,sakrament,tt10087418
,-,['Martina Seminara'],['Martina Seminara'],"Ana and Maria are sisters. Through their lives, they have passed long summers in the family hotel that their grandparents built in Mar del Plata town in the early 50'. Only days before the old building is sold, they go on a ""good-bye"".",12,Drama,hotel astur,tt10107628
,-,['Mykee Morettini'],"['Charles Bukowski', 'Jay Sawyer']",Duke deals with the pressures of being a good father and husband while moonlighting as a drug dealer.,29,Drama,a .45 to pay the rent,tt10139148
,-,['Gang Wang'],-,An agent must find the confidential file to stop a tragedy.,-,Drama,confidential file,tt10146914
,-,['António da Cunha Telles'],-,-,20,Drama,agarrados à rocha,tt10164148
,-,"[""Sérgio Brás d'Almeida""]",-,-,15,Drama,satélites,tt10163742
,-,['Miriam Rahimi-Cholensky'],['Miriam Rahimi-Cholensky'],-,-,Drama,sun,tt10161636
,-,['Charles Brandon Hayes'],"['Charles Brandon Hayes', 'Nathan M. Williams']",-,15,Drama,what fall became,tt10162866
,-,['Sandra Santos'],-,-,7,Drama,e se...,tt10163934
,-,['Marina Gerosa'],['Marina Gerosa'],-,-,Drama,¿lobo está?,tt10166774
,-,['Sreebala K. Menon'],['Santosh Echikanam'],-,20,Drama,panthibhojanam,tt10203428
,8.1,"['Michael Rotchadl', 'Christan van Slyke']","['Michael Rotchadl', 'Christan van Slyke']",Up and coming teen struggling with coming out to friends at a senior celebration party.,-,Drama,halos & rainbows,tt10217420
,-,['Antonio Palomino'],['Antonio Palomino'],"This short film, recorded in Malaga, takes place in the middle of the Spanish Civil War. The story tells the social, political and religious confusions that are experienced in each of the sides and how the protagonist is suddenly submerged in the field of battle. We can say that in this short film the fundamental idea that wants to express society is the ideals of an ... Leer todo",-,Drama,el ambidiestro,tt10224574
,4.9,['Nick Narciso'],['Nick Narciso'],"We find ourselves roaming lost in a place where hope and light are absent. A place which seems both so dark and distant, yet too familiar, our sanity begins to fade. We've become absorbed into a reality that may exist elsewhere... or nowhere at all.",17,Drama,8 butterflies,tt1024702
,8.2,['Abdulmohsen Aldhabaan'],['Abdulmohsen Aldhabaan'],What relevance does a string of crimes committed in the past have in the present? The film depicts a story of past crimes leaving a fresh impression on our time today.,35,Drama,incomplete chronicles of a folk tale,tt10254972
,-,['Hussam Alhulwah'],['Hussam Alhulwah'],A man comes home to find out that his wife has left him. He uses his time alone in an unexpected way.,17,Drama,awdah,tt10261192
-,-,['Matthew Lincoln'],['Matthew Lincoln'],The story of a private eye with a complicated past.,-,Drama,the price of silence,tt10282102
,-,['Andreas Abb'],['Andreas Abb'],"A middle-aged man sits alone at a hotel bar late at night, drowning his grief in alcohol. Only gradually does he tell his story to a curious young woman. Elsewhere, a mother in the hospital worries about the life of her seriously-injured son.",-,Drama,red and black,tt10285678
,-,['Nicole Combeau'],-,-,-,Drama,prete moi le feu,tt10300940
